id_client,nom,prenom,cin,telephone,email,adresse,date_naissance,created_at
1,baroudi,siham,cd809570,683197857,sihambaroudigmailcom,141 rue maaroufi mabella casablanca maroc,1997-10-26,1970-01-01
2,amrani,ikram,cd688508,636687537,ikramamranigmailcom,16 rue amrani maarif oujda maroc,1956-01-03,1970-01-01
3,lahlou,adil,ef832052,666722344,adillahlouhotmailfr,230 rue ouzzani hay riad oujda maroc,1970-12-20,1970-01-01
4,bakkali,tarik,ab476417,756164955,tarikbakkaligmailcom,173 rue fassi hay riad fes maroc,1963-10-20,1970-01-01
5,bennis,zineb,ab678856,749349722,zinebbennisgmailcom,236 rue elidrissi mabella casablanca maroc,2000-05-09,1970-01-01
6,zerouali,malak,ab910620,648840994,malakzeroualihotmailfr,99 rue lahlou sidi moumen tanger maroc,1960-03-21,1970-01-01
7,amrani,mehdi,lm488162,757683626,mehdiamranihotmailfr,143 rue chouaib oasis rabat maroc,1956-06-19,1970-01-01
8,touil,tarik,lm584714,660929647,tariktouilhotmailfr,88 rue elidrissi sidi moumen rabat maroc,1960-09-05,1970-01-01
9,boukhriss,hiba,no961722,614308421,hibaboukhrisshotmailfr,167 rue zerouali tachfine marrakech maroc,1970-02-19,1970-01-01
10,naciri,salma,ik322955,597971488,salmanaciriinwima,34 rue touil belvdre oujda maroc,1995-04-10,1970-01-01
11,bensaid,ayoub,cd883300,588461803,ayoubbensaidinwima,136 rue chakiri gueliz kenitra maroc,1992-06-30,1970-01-01
12,rguig,ikram,ik892495,716323852,ikramrguiggmailcom,113 rue chakiri mdina oujda maroc,2003-01-11,1970-01-01
13,sekkat,siham,lm503457,761220073,sihamsekkatgmailcom,82 rue naciri tachfine fes maroc,1982-11-08,1970-01-01
14,bennis,reda,ab814825,582070937,redabennisgmailcom,284 rue sekkat belvdre temara maroc,1984-11-15,1970-01-01
15,chraibi,tarik,cd857168,745351479,tarikchraibigmailcom,151 rue rguig agdal tanger maroc,1954-09-30,1970-01-01
16,elmansouri,imane,lm260263,760185867,imaneelmansourihotmailfr,55 rue sekkat bourgogne temara maroc,2001-10-24,1970-01-01
17,chraibi,saad,ab612340,512614124,saadchraibiinwima,272 rue alaoui tabriquet temara maroc,1977-06-16,1970-01-01
18,fassi,abdelhak,ik867460,675228535,abdelhakfassigmailcom,30 rue maaroufi hay riad agadir maroc,1964-11-19,1970-01-01
19,zerouali,youssef,lm377932,780823176,youssefzeroualihotmailfr,65 rue chakiri tabriquet temara maroc,2006-04-05,1970-01-01
20,sekkat,othmane,lm847581,551837852,othmanesekkathotmailfr,277 rue chraibi hay riad oujda maroc,1961-04-05,1970-01-01
21,elalami,abdelhak,ab167136,655377076,abdelhakelalamihotmailfr,265 rue chouaib bourgogne kenitra maroc,1980-02-28,1970-01-01
22,elkhatib,ikram,ab340062,519046318,ikramelkhatibgmailcom,113 rue elkhatib hay riad temara maroc,1978-09-25,1970-01-01
23,fadili,hassan,ef324643,582374753,hassanfadiliiamnetma,264 rue maaroufi agdal tanger maroc,1995-05-22,1970-01-01
24,chakiri,rayan,gh198907,723009833,rayanchakirihotmailfr,125 rue naciri yacoub el mansour ttouan maroc,1957-04-05,1970-01-01
25,hariri,abdelaziz,no806073,597705310,abdelazizharirigmailcom,211 rue chouaib oasis tanger maroc,1990-10-18,1970-01-01
26,baroudi,rachid,no300896,635529407,rachidbaroudihotmailfr,174 rue naciri oasis casablanca maroc,1980-01-24,1970-01-01
27,elidrissi,bouchra,gh564656,683863413,bouchraelidrissigmailcom,94 rue boukhriss oasis fes maroc,1991-11-15,1970-01-01
28,fassi,amina,no526156,675181648,aminafassihotmailfr,8 rue amrani sidi marouf temara maroc,1997-01-30,1970-01-01
29,bensaid,ibrahim,gh378085,671070189,ibrahimbensaidiamnetma,31 rue zahiri bourgogne oujda maroc,1993-08-05,1970-01-01
30,jebari,abdelaziz,cd161324,787736262,abdelazizjebarihotmailfr,250 rue chakiri tachfine temara maroc,2002-04-02,1970-01-01
31,tahiri,adil,ab627276,581286543,adiltahiriiamnetma,161 rue bennani mabella casablanca maroc,1957-06-03,1970-01-01
32,zahiri,amina,ik523389,626090908,aminazahirihotmailfr,96 rue amrani agdal temara maroc,2006-11-29,1970-01-01
33,fadili,rayan,ab373432,737415205,rayanfadiliinwima,21 rue bennis sidi moumen marrakech maroc,1959-09-26,1970-01-01
34,hariri,salma,lm579434,552436584,salmahaririinwima,203 rue chakiri belvdre marrakech maroc,1961-03-06,1970-01-01
35,alaoui,youssef,ab630458,545594597,youssefalaouihotmailfr,289 rue fassi yacoub el mansour casablanca maroc,1973-03-22,1970-01-01
36,chakiri,houda,ef974244,682909480,houdachakiriiamnetma,126 rue moutawakil bourgogne rabat maroc,1997-07-25,1970-01-01
37,lahlou,karim,lm795613,523903144,karimlahlouinwima,271 rue elkhatib tabriquet ttouan maroc,1965-05-16,1970-01-01
38,fadili,omar,ik395442,691178885,omarfadiliinwima,55 rue tahiri agdal agadir maroc,1978-06-25,1970-01-01
