id_carte,id_compte,numero_carte,type_carte,date_expiration,statut,contactless,plafond_paiement,paiement_international,created_at
1,1,4965610143888999,gold,,bloquee,true,5000,true,2017-03-13
2,2,30567982507149,gold,,expiree,false,5000,true,2019-12-25
3,3,5425457387571779,electron,,active,true,5000,false,2019-02-06
4,4,2260105123828251,visa,,expiree,false,10000,false,2017-01-17
5,5,6536226609379665,visa,,expiree,false,10000,true,2024-07-31
6,6,3534191825537141,platinum,,bloquee,false,10000,true,2022-06-25
7,7,30596969155796,platinum,,active,false,20000,false,2015-10-24
8,8,4991251341252866,visa,,expiree,true,10000,false,2019-01-09
9,9,3596627828274229,mastercard,,expiree,false,5000,true,2023-11-26
10,10,30050723688767,mastercard,,bloquee,true,10000,false,2015-10-03
11,11,36772190340432,mastercard,,bloquee,false,20000,false,2018-09-08
12,12,4797881914858078366,gold,,bloquee,true,10000,true,2024-07-29
13,13,3540745171339592,electron,,active,true,5000,true,2019-01-20
14,14,6011923309584982,gold,,active,false,5000,false,2020-01-14
15,15,374948126042231,platinum,,active,false,10000,false,2018-01-08
16,16,3536729466711687,electron,,active,true,5000,false,2022-06-30
17,17,4775901751863637451,visa,,bloquee,false,5000,false,2020-01-12
18,18,4892975001701277068,mastercard,,active,true,20000,true,2018-12-19
19,19,3542415415206431,electron,,bloquee,false,10000,true,2021-01-11
20,20,4103712938700513,mastercard,,expiree,false,5000,true,2016-11-18
21,21,6011713611155427,visa,,active,true,20000,false,2016-12-12
22,22,4189092753269739,gold,,expiree,false,20000,false,2021-02-26
23,23,5519656523413898,electron,,expiree,true,20000,false,2019-10-21
24,24,3504389836403768,platinum,,expiree,false,20000,false,2023-02-13
25,25,4918055269657,gold,,active,true,20000,false,2017-06-05
26,26,4710910430068489,visa,,active,false,50000,false,2016-08-23
27,27,6561889241418320,visa,,active,true,5000,true,2020-04-16
28,28,379146303161792,platinum,,active,true,10000,true,2021-06-16
29,29,572102027586,gold,,expiree,true,5000,false,2018-07-29
30,30,3525241056481492,gold,,bloquee,true,50000,true,2016-06-27
31,31,2578507925241913,gold,,expiree,true,5000,true,2019-03-08
32,32,3500307562208635,electron,,bloquee,true,10000,true,2020-03-24
33,33,4541951802387,visa,,bloquee,true,50000,true,2019-04-07
34,34,6011744518705345,mastercard,,expiree,true,50000,false,2021-10-09
35,35,4759738320603850502,visa,,active,true,50000,true,2023-01-07
36,36,4413836702410382,electron,,active,true,20000,false,2021-07-05
37,37,3571918261990622,platinum,,bloquee,false,20000,true,2021-08-08
38,38,4565574313291212778,gold,,active,true,10000,true,2018-11-13
39,39,6011853747411243,visa,,expiree,false,10000,false,2019-11-05
40,40,3535213568044207,platinum,,expiree,false,50000,false,2016-07-08
41,41,30317121003232,gold,,expiree,false,50000,true,2018-03-20
42,42,6519941013721515,mastercard,,active,true,20000,true,2019-06-21
43,43,30029667066255,mastercard,,expiree,false,10000,false,2023-03-03
44,44,4472099934768709,electron,,bloquee,false,50000,true,2019-11-24
45,45,4263838065787598565,visa,,bloquee,true,10000,true,2024-10-11
46,46,4593040785932139,gold,,active,true,5000,false,2020-10-27
47,47,4803965223954,gold,,bloquee,false,5000,false,2016-04-03
48,48,3590599293784279,electron,,expiree,true,5000,true,2015-11-07
49,49,5239308705932522,visa,,bloquee,false,50000,true,2022-02-16
50,50,340292185156918,electron,,active,true,20000,true,2016-06-06
