id_compte,id_client,numero_compte,type_compte,solde,statut,created_at,usage_compte,categorie_client,portee_compte,description_compte
1,1,ma333508066526553667230274,epargne,498671.09,suspendu,1970-01-01,professionnel,particulier,international,"Compte de type epargne, utilisé à titre professionnel, client particulier, statut suspendu, porté à l'international."
2,2,ma641518635686836115826348,courant,334369.1,actif,1970-01-01,personnel,premium,international,"Compte de type courant, utilisé à titre personnel, client premium, statut actif, porté à l'international."
3,3,ma542099210467975607727486,epargne,119763.71,suspendu,1970-01-01,professionnel,entreprise,national,"Compte de type epargne, utilisé à titre professionnel, client entreprise, statut suspendu, porté à l'national."
4,4,ma588761131943101357035519,courant,179192.79,suspendu,1970-01-01,joint,particulier,international,"Compte de type courant, utilisé à titre joint, client particulier, statut suspendu, porté à l'international."
5,5,ma219416678872260381820877,courant,331773.12,suspendu,1970-01-01,joint,entreprise,national,"Compte de type courant, utilisé à titre joint, client entreprise, statut suspendu, porté à l'national."
6,6,ma780620797003277802675712,investissement,378473.89,ferme,1970-01-01,joint,premium,international,"Compte de type investissement, utilisé à titre joint, client premium, statut ferme, porté à l'international."
7,7,ma487239263936054186494211,epargne,223979.89,actif,1970-01-01,personnel,particulier,international,"Compte de type epargne, utilisé à titre personnel, client particulier, statut actif, porté à l'international."
8,8,ma857200922281452475735790,investissement,202148.83,suspendu,1970-01-01,joint,premium,national,"Compte de type investissement, utilisé à titre joint, client premium, statut suspendu, porté à l'national."
9,9,ma128804414987741756354622,investissement,52204.04,ferme,1970-01-01,professionnel,premium,national,"Compte de type investissement, utilisé à titre professionnel, client premium, statut ferme, porté à l'national."
10,10,ma570034285299793379870082,salaire,248832.42,suspendu,1970-01-01,professionnel,particulier,national,"Compte de type salaire, utilisé à titre professionnel, client particulier, statut suspendu, porté à l'national."
11,11,ma944928837347601473205002,courant,263798.69,actif,1970-01-01,personnel,premium,national,"Compte de type courant, utilisé à titre personnel, client premium, statut actif, porté à l'national."
12,12,ma207820237372457067343937,salaire,446051.66,ferme,1970-01-01,joint,entreprise,international,"Compte de type salaire, utilisé à titre joint, client entreprise, statut ferme, porté à l'international."
13,13,ma756198118352054201647790,epargne,320484.17,ferme,1970-01-01,professionnel,entreprise,national,"Compte de type epargne, utilisé à titre professionnel, client entreprise, statut ferme, porté à l'national."
14,14,ma133804291093292426647742,courant,483385.76,suspendu,1970-01-01,professionnel,entreprise,national,"Compte de type courant, utilisé à titre professionnel, client entreprise, statut suspendu, porté à l'national."
15,15,ma714585349219744840796283,epargne,254397.35,ferme,1970-01-01,personnel,entreprise,international,"Compte de type epargne, utilisé à titre personnel, client entreprise, statut ferme, porté à l'international."
16,16,ma652758505953557905737271,epargne,446183.42,ferme,1970-01-01,personnel,particulier,international,"Compte de type epargne, utilisé à titre personnel, client particulier, statut ferme, porté à l'international."
17,17,ma963198288123853937827574,epargne,247662.84,ferme,1970-01-01,personnel,premium,international,"Compte de type epargne, utilisé à titre personnel, client premium, statut ferme, porté à l'international."
18,18,ma118845433867887327749083,courant,461047.06,actif,1970-01-01,personnel,particulier,national,"Compte de type courant, utilisé à titre personnel, client particulier, statut actif, porté à l'national."
19,19,ma240632247065978961881811,salaire,2419.16,actif,1970-01-01,joint,particulier,international,"Compte de type salaire, utilisé à titre joint, client particulier, statut actif, porté à l'international."
