id_employe,nom,prenom,poste,departement,telephone,email,adresse,date_embauche,salaire_mensuel
1,bensaid,karim,charg de clientle,relations clients,639517099,karimbensaidbanquema,184 rue bakkali sidi marouf tanger maroc,2012-07-19,22161.98
2,alaoui,nadia,analyste,relations clients,624449015,nadiaalaouibanquema,96 rue elidrissi yacoub el mansour fes maroc,2012-02-04,9194.7
3,chouaib,zineb,charg de clientle,finances,621659353,zinebchouaibbanquema,72 rue sekkat agdal oujda maroc,2024-04-23,25591.84
4,moutawakil,abdelaziz,guichetier,relations clients,623623588,abdelazizmoutawakilbanquema,218 rue boukhriss tabriquet fes maroc,2019-09-21,4747.43
5,boukhriss,ilham,conseiller,it,631445813,ilhamboukhrissbanquema,227 rue elalami ain sebaa rabat maroc,2016-03-14,20157.34
6,bennani,abdelaziz,guichetier,agence,667913253,abdelazizbennanibanquema,43 rue bennis hay riad ttouan maroc,2021-11-21,24542.59
7,maaroufi,malak,conseiller,finances,676313197,malakmaaroufibanquema,38 rue rguig mdina ttouan maroc,2015-04-20,12725.26
8,lahlou,yassine,charg de clientle,conformit,626782946,yassinelahloubanquema,277 rue chakiri sidi marouf ttouan maroc,2016-08-24,22812.95
9,chouaib,mehdi,gestionnaire,it,640756225,mehdichouaibbanquema,111 rue boukhriss gueliz rabat maroc,2018-07-29,17795.41
10,bennani,karim,charg de clientle,risques,649158335,karimbennanibanquema,47 rue hariri mdina temara maroc,2024-06-25,5486.79
11,moutawakil,othmane,charg de clientle,risques,616200582,othmanemoutawakilbanquema,153 rue moutawakil oasis marrakech maroc,2024-07-05,18377.4
12,naciri,mouna,directeur,finances,673267640,mounanaciribanquema,131 rue chakiri hay riad rabat maroc,2011-01-28,15480.65
13,chouaib,imane,directeur,it,654457665,imanechouaibbanquema,33 rue fassi sidi moumen ttouan maroc,2015-09-24,4631.35
14,jebari,zineb,charg de clientle,finances,637262744,zinebjebaribanquema,44 rue elmansouri bourgogne marrakech maroc,2017-09-15,10467.02
15,fadili,malak,charg de clientle,conformit,615118359,malakfadilibanquema,44 rue fadili hay riad tanger maroc,2023-07-26,26249.6
16,hariri,ikram,conseiller,finances,696237148,ikramhariribanquema,61 rue hariri yacoub el mansour kenitra maroc,2018-11-28,4410.79
17,chakiri,ikram,analyste,finances,626979489,ikramchakiribanquema,240 rue bennis tachfine rabat maroc,2012-06-15,25031.34
18,alaoui,bouchra,analyste,risques,624971009,bouchraalaouibanquema,83 rue elmansouri sidi marouf marrakech maroc,2010-05-09,21818.02
19,amrani,amina,guichetier,risques,693020794,aminaamranibanquema,118 rue zerouali yacoub el mansour temara maroc,2024-09-05,6546.71
20,elidrissi,mouna,analyste,risques,653253408,mounaelidrissibanquema,39 rue naciri sidi moumen oujda maroc,2020-02-20,21664.33
21,rguig,anass,gestionnaire,it,628375615,anassrguigbanquema,14 rue moutawakil tabriquet rabat maroc,2012-09-17,21743.56
22,bensaid,mohamed,charg de clientle,it,689840335,mohamedbensaidbanquema,150 rue moutawakil tachfine kenitra maroc,2012-06-14,25852.68
23,amrani,abdelhak,conseiller,agence,652653860,abdelhakamranibanquema,131 rue boukhriss maarif marrakech maroc,2024-09-02,25030.48
24,zahiri,mohamed,guichetier,it,679892950,mohamedzahiribanquema,194 rue tahiri tabriquet fes maroc,2025-02-05,16853.55
25,bennis,hassan,conseiller,risques,656468876,hassanbennisbanquema,159 rue baroudi mabella marrakech maroc,2016-07-20,19455.58
26,elmansouri,ayoub,charg de clientle,agence,641908883,ayoubelmansouribanquema,204 rue bennani tabriquet kenitra maroc,2018-10-04,11077.22
27,bennis,ibrahim,directeur,conformit,656705847,ibrahimbennisbanquema,236 rue hariri oasis agadir maroc,2024-06-07,5788.99
28,lahlou,laila,conseiller,agence,677778425,lailalahloubanquema,218 rue elidrissi tabriquet marrakech maroc,2010-04-22,5963.44
29,maaroufi,hiba,directeur,agence,616505289,hibamaaroufibanquema,89 rue amrani yacoub el mansour fes maroc,2022-05-22,10335.79
30,boukhriss,samira,guichetier,agence,631432300,samiraboukhrissbanquema,280 rue jebari agdal casablanca maroc,2020-01-29,6562.04
31,elidrissi,hiba,gestionnaire,conformit,614231385,hibaelidrissibanquema,121 rue zahiri mdina fes maroc,2010-08-12,9121.66
32,tahiri,youssef,analyste,risques,695520167,yousseftahiribanquema,63 rue tahiri ain sebaa oujda maroc,2022-10-18,14798.73
33,elkhatib,mouna,guichetier,conformit,674274737,mounaelkhatibbanquema,45 rue baroudi sidi moumen temara maroc,2011-02-25,13889.77
34,elkhatib,reda,analyste,relations clients,675242156,redaelkhatibbanquema,157 rue baroudi sidi moumen temara maroc,2011-05-20,8788.87
35,bennani,fatima,conseiller,relations clients,623384614,fatimabennanibanquema,42 rue boukhriss gueliz tanger maroc,2021-01-21,27746.44
36,chouaib,siham,conseiller,conformit,659014146,sihamchouaibbanquema,138 rue elidrissi hay riad oujda maroc,2017-02-05,21453.59
37,zerouali,othmane,conseiller,it,671576114,othmanezeroualibanquema,93 rue touil agdal tanger maroc,2014-01-15,13654.17
38,chraibi,siham,charg de clientle,finances,645545068,sihamchraibibanquema,42 rue bennis tabriquet ttouan maroc,2022-04-14,13406.98
39,alaoui,abdelhak,analyste,finances,692790229,abdelhakalaouibanquema,242 rue chakiri sidi moumen oujda maroc,2016-02-16,12799.22
40,zerouali,siham,conseiller,risques,676909725,sihamzeroualibanquema,233 rue rguig gueliz ttouan maroc,2017-04-12,15418.96
41,tahiri,siham,analyste,risques,628973877,sihamtahiribanquema,213 rue chraibi ain sebaa temara maroc,2014-12-26,19201.01
42,elalami,rachid,analyste,it,661228594,rachidelalamibanquema,206 rue chraibi mabella fes maroc,2011-03-16,9687.73
43,elkhatib,abdelhak,guichetier,it,623213142,abdelhakelkhatibbanquema,107 rue chouaib yacoub el mansour tanger maroc,2018-02-13,25997.75
44,elmansouri,anass,guichetier,conformit,628762277,anasselmansouribanquema,24 rue zahiri sidi marouf agadir maroc,2013-03-23,21037.2
45,lahlou,soukaina,analyste,risques,662476756,soukainalahloubanquema,155 rue jebari agdal oujda maroc,2013-11-24,16850.22
46,touil,ibrahim,analyste,agence,671348078,ibrahimtouilbanquema,57 rue amrani belvdre casablanca maroc,2024-05-18,21789.14
47,zahiri,rachid,conseiller,it,640435778,rachidzahiribanquema,152 rue elmansouri gueliz tanger maroc,2012-08-14,14316.34
48,elidrissi,nadia,conseiller,finances,674316841,nadiaelidrissibanquema,213 rue boukhriss bourgogne marrakech maroc,2015-01-16,14095.75
49,elalami,adil,conseiller,risques,674832029,adilelalamibanquema,262 rue fadili oasis ttouan maroc,2024-09-21,13812.52
50,elidrissi,mehdi,analyste,conformit,639513045,mehdielidrissibanquema,143 rue elidrissi maarif casablanca maroc,2025-01-04,19687.14
51,baroudi,mehdi,directeur,it,620570710,mehdibaroudibanquema,117 rue lahlou mabella oujda maroc,2018-04-20,29363.77
52,tahiri,laila,analyste,finances,617737798,lailatahiribanquema,86 rue bensaid agdal ttouan maroc,2013-04-29,19556.06
53,boukhriss,youssef,charg de clientle,conformit,660616239,youssefboukhrissbanquema,136 rue bennani bourgogne casablanca maroc,2018-11-12,7774.0
54,fassi,khadija,guichetier,finances,678929256,khadijafassibanquema,88 rue chakiri yacoub el mansour temara maroc,2013-01-28,16475.17
55,elmansouri,nour,charg de clientle,it,669908086,nourelmansouribanquema,275 rue fassi agdal casablanca maroc,2019-10-31,24089.59
56,elalami,amina,charg de clientle,conformit,692251573,aminaelalamibanquema,230 rue elmansouri mdina kenitra maroc,2020-09-12,17536.63
57,boukhriss,rayan,analyste,it,692450006,rayanboukhrissbanquema,146 rue ouzzani bourgogne kenitra maroc,2015-11-20,19606.95
58,bakkali,saad,directeur,it,624814798,saadbakkalibanquema,252 rue fassi agdal fes maroc,2022-07-28,26195.35
59,naciri,yassine,gestionnaire,it,622740057,yassinenaciribanquema,265 rue tahiri mdina oujda maroc,2023-09-14,17897.97
60,fassi,mohamed,charg de clientle,conformit,694804472,mohamedfassibanquema,253 rue touil agdal oujda maroc,2015-01-25,12147.96
61,sekkat,mouna,guichetier,it,622632355,mounasekkatbanquema,103 rue zerouali oasis rabat maroc,2010-05-23,15985.96
62,moutawakil,houda,conseiller,relations clients,665622207,houdamoutawakilbanquema,92 rue tahiri sidi marouf kenitra maroc,2011-04-19,19513.77
63,bennis,nadia,conseiller,it,619533564,nadiabennisbanquema,288 rue elmansouri yacoub el mansour marrakech maroc,2011-10-26,25818.69
64,touil,ilham,conseiller,relations clients,688550579,ilhamtouilbanquema,298 rue fadili tachfine ttouan maroc,2018-07-25,17790.43
65,zahiri,amina,analyste,agence,611740542,aminazahiribanquema,107 rue baroudi tabriquet rabat maroc,2019-02-26,15076.47
66,bensaid,houda,guichetier,conformit,662213041,houdabensaidbanquema,88 rue fassi tabriquet marrakech maroc,2021-05-25,9056.22
67,alaoui,siham,directeur,finances,680717093,sihamalaouibanquema,241 rue bennis agdal marrakech maroc,2024-03-14,19038.29
68,chraibi,hassan,charg de clientle,risques,673917384,hassanchraibibanquema,29 rue maaroufi mabella agadir maroc,2019-02-04,19635.79
69,tahiri,soukaina,directeur,conformit,640186567,soukainatahiribanquema,171 rue elmansouri ain sebaa tanger maroc,2013-05-31,14948.55
70,zerouali,mouna,guichetier,relations clients,626597680,mounazeroualibanquema,281 rue chraibi bourgogne ttouan maroc,2013-01-15,26115.9
71,tahiri,ibrahim,directeur,agence,653239132,ibrahimtahiribanquema,79 rue chakiri tachfine ttouan maroc,2022-01-09,15386.58
72,boukhriss,youssef,conseiller,conformit,684846712,youssefboukhrissbanquema,95 rue bakkali mabella ttouan maroc,2014-10-04,23215.4
73,fadili,zineb,conseiller,conformit,634092638,zinebfadilibanquema,216 rue fadili sidi marouf kenitra maroc,2022-07-03,29777.9
74,lahlou,nour,analyste,risques,682746008,nourlahloubanquema,20 rue fassi tabriquet oujda maroc,2018-01-02,18857.66
75,boukhriss,houda,directeur,finances,684471877,houdaboukhrissbanquema,107 rue tahiri agdal agadir maroc,2014-05-24,10077.61
76,bakkali,samira,conseiller,relations clients,642529201,samirabakkalibanquema,27 rue bennis tabriquet marrakech maroc,2011-11-02,19543.21
77,elmansouri,yassine,directeur,finances,698798695,yassineelmansouribanquema,220 rue lahlou maarif ttouan maroc,2012-08-15,26930.16
78,ouzzani,adil,gestionnaire,conformit,614309791,adilouzzanibanquema,143 rue alaoui gueliz kenitra maroc,2017-06-11,19893.25
79,sekkat,imane,directeur,conformit,635257425,imanesekkatbanquema,248 rue baroudi yacoub el mansour rabat maroc,2011-07-16,28588.41
80,alaoui,khadija,guichetier,risques,618931190,khadijaalaouibanquema,261 rue amrani oasis oujda maroc,2016-12-06,29037.77
81,bensaid,nour,conseiller,relations clients,628265078,nourbensaidbanquema,15 rue bensaid yacoub el mansour oujda maroc,2019-07-13,21078.42
82,lahlou,soukaina,charg de clientle,risques,627797823,soukainalahloubanquema,93 rue jebari mabella casablanca maroc,2023-10-29,20804.82
83,tahiri,tarik,conseiller,relations clients,640807548,tariktahiribanquema,269 rue fadili mabella rabat maroc,2023-06-12,21516.44
84,maaroufi,imane,conseiller,it,611934886,imanemaaroufibanquema,161 rue jebari oasis marrakech maroc,2016-08-26,6596.83
85,naciri,karim,directeur,risques,684188433,karimnaciribanquema,87 rue jebari belvdre agadir maroc,2010-05-30,21404.45
86,hariri,fatima,conseiller,conformit,659372757,fatimahariribanquema,144 rue maaroufi mabella fes maroc,2018-06-30,19624.0
87,chouaib,nadia,charg de clientle,it,699698735,nadiachouaibbanquema,47 rue fassi mabella tanger maroc,2011-06-05,15070.71
88,amrani,yassine,directeur,agence,687303792,yassineamranibanquema,5 rue bennis belvdre oujda maroc,2011-04-23,12032.16
89,moutawakil,nour,analyste,agence,635839651,nourmoutawakilbanquema,34 rue fadili ain sebaa ttouan maroc,2023-09-06,12317.89
90,zerouali,omar,gestionnaire,agence,695018569,omarzeroualibanquema,167 rue amrani sidi marouf agadir maroc,2016-04-13,17222.84
91,zerouali,imane,conseiller,conformit,619475654,imanezeroualibanquema,39 rue hariri sidi marouf oujda maroc,2019-11-15,9190.48
92,elalami,salma,gestionnaire,risques,687565391,salmaelalamibanquema,93 rue tahiri belvdre ttouan maroc,2021-03-21,4916.05
93,zahiri,mouna,charg de clientle,relations clients,688260480,mounazahiribanquema,196 rue rguig oasis kenitra maroc,2022-03-07,19598.66
94,chraibi,saad,analyste,agence,682109744,saadchraibibanquema,120 rue maaroufi mdina ttouan maroc,2023-02-12,18785.71
95,amrani,youssef,gestionnaire,risques,612180043,youssefamranibanquema,99 rue bennis tabriquet temara maroc,2011-04-23,24369.48
96,jebari,omar,analyste,relations clients,610295360,omarjebaribanquema,77 rue jebari tachfine agadir maroc,2011-11-11,21507.04
97,elmansouri,nour,charg de clientle,it,650252966,nourelmansouribanquema,98 rue touil oasis agadir maroc,2012-04-12,18008.75
98,maaroufi,mouna,charg de clientle,it,623761023,mounamaaroufibanquema,242 rue moutawakil hay riad agadir maroc,2020-01-28,13912.47
99,fadili,malak,directeur,finances,668338774,malakfadilibanquema,20 rue elmansouri mabella agadir maroc,2016-08-18,8568.92
100,maaroufi,hiba,directeur,agence,654260904,hibamaaroufibanquema,69 rue elidrissi oasis fes maroc,2010-04-28,15693.94
101,touil,yassine,charg de clientle,it,685087085,yassinetouilbanquema,178 rue zahiri sidi moumen casablanca maroc,2020-09-09,24980.98
102,moutawakil,othmane,conseiller,risques,694765913,othmanemoutawakilbanquema,246 rue zerouali bourgogne agadir maroc,2013-05-02,18802.27
103,naciri,othmane,gestionnaire,agence,653314199,othmanenaciribanquema,168 rue touil belvdre oujda maroc,2024-08-29,25827.18
104,bensaid,ayoub,gestionnaire,it,626723636,ayoubbensaidbanquema,133 rue chouaib maarif tanger maroc,2018-03-13,9236.64
105,bennani,ikram,gestionnaire,relations clients,683884008,ikrambennanibanquema,141 rue chakiri mdina ttouan maroc,2024-01-15,9518.93
106,boukhriss,soukaina,gestionnaire,relations clients,660639183,soukainaboukhrissbanquema,206 rue hariri tachfine ttouan maroc,2012-02-29,15172.19
107,ouzzani,adil,analyste,conformit,612201320,adilouzzanibanquema,133 rue chouaib sidi moumen ttouan maroc,2024-03-11,6768.78
108,lahlou,fatima,gestionnaire,relations clients,645012338,fatimalahloubanquema,27 rue amrani sidi moumen oujda maroc,2021-06-25,27612.81
109,amrani,fatima,conseiller,finances,670133687,fatimaamranibanquema,269 rue boukhriss tabriquet marrakech maroc,2011-10-09,14196.91
110,zerouali,houda,directeur,agence,697593071,houdazeroualibanquema,167 rue elkhatib oasis oujda maroc,2015-08-31,18113.31
111,elmansouri,abdelaziz,charg de clientle,finances,675953891,abdelazizelmansouribanquema,50 rue elalami tachfine casablanca maroc,2013-06-20,10779.75
112,fadili,imane,charg de clientle,relations clients,691966264,imanefadilibanquema,107 rue moutawakil belvdre marrakech maroc,2017-07-29,18962.58
113,bakkali,fatima,analyste,relations clients,654979545,fatimabakkalibanquema,9 rue baroudi mdina agadir maroc,2011-09-06,26278.68
